pairIndex,type,appid,name,rankAcceptance,rankFiltered,acceptanceScore,totalEnglishReviews,reviewId,language,review,isPositive,voted_up,timestamp_created,timestamp_updated,authorSteamId,playtime_forever,playtime_last_two_weeks,received_for_free,written_during_early_access,steam_purchase,comment_count,votes_up,votes_funny,weighted_vote_score,charLen,lengthBucket,sampleIndexWithinApp
3,bottom,48110,Silent Hunter 5: Battle of the Atlantic,25061,15336,3.471863,1459,452944,english,"Under any other circumstance of a game having this level of DRM protection, I wouldn't buy it.  But Silent Hunter 5 is by far and away the best World War 2 sub sim out there, and has been for years.  Its worth it, even the hassle.  Effects and environment are stellar.  Realism as well is second to none in the genre.",1,True,1332162748,1332162748,76561197970724676,2046,0,False,False,True,0,0,0,0.5,317,long,1
3,bottom,48110,Silent Hunter 5: Battle of the Atlantic,25061,15336,3.471863,1459,2602918,english,best of the silent hunters so far don t bother with the others controls in this game are better than the other games but takes awhile to get use to it,1,True,1335452449,1335452449,76561198009880016,2437,0,False,False,True,0,0,0,0.5,150,medium,2
3,bottom,48110,Silent Hunter 5: Battle of the Atlantic,25061,15336,3.471863,1459,6203450,english,Torpedo Los!,1,True,1371467505,1747249879,76561198061154055,2144,0,False,False,True,0,0,0,0.5,12,short,3
3,bottom,48110,Silent Hunter 5: Battle of the Atlantic,25061,15336,3.471863,1459,7940031,english,"Really good game.  I was hesitant for awhile, but finally got it.  And it works, constant DRM and all.

Edit:  It won't continue a campaign for me.  I can play, but have to start a new game every time.  And don't even bother with the tutorial.  If you do it, the game won't continue (at least for me).",0,False,1386346113,1639871815,76561198018744215,4690,0,False,False,True,0,0,0,0.5,301,long,4
3,bottom,48110,Silent Hunter 5: Battle of the Atlantic,25061,15336,3.471863,1459,8557493,english,"Quite fun, if somewhat complicated at first.  I'd recommend it only if you're the kind of person who not only reads the manual cover to cover before playing a game, but also looks for guides and videos online.",1,True,1388861605,1388861605,76561198019163270,1085,0,False,False,True,0,0,0,0.5,209,medium,5
3,bottom,48110,Silent Hunter 5: Battle of the Atlantic,25061,15336,3.471863,1459,9212344,english,a lot of bugs...,0,False,1393034633,1393034633,76561198038102807,405,0,False,False,True,0,1,0,0.4980242848396301,16,short,6
3,bottom,48110,Silent Hunter 5: Battle of the Atlantic,25061,15336,3.471863,1459,9504969,english,"Fun game & worth ten bucks. All the other Silent Hunter games have interfaces where you can use just the keyboard, just the mouse, or both. This game only has option for using both. Personally, I'm not to slick with a keyboard, so even though SH5 has the better interface, I find myself playing SH3 & SH4 (WOP) a lot more often. Still a good game though.",1,True,1394999736,1394999736,76561198086051656,5088,0,False,False,False,0,1,0,0.4950980246067047,354,long,7
3,bottom,48110,Silent Hunter 5: Battle of the Atlantic,25061,15336,3.471863,1459,9600159,english,"DO NOT BUY THIS GAME, You MUST Have a UPLAY Account to play and then you'll find the activation code from steam is invalid and wont work if bought with the collection package, it's money wasted in my opinion.",0,False,1395530008,1395530008,76561198068497518,20,0,False,False,True,0,4,0,0.4922983050346374,208,medium,8
3,bottom,48110,Silent Hunter 5: Battle of the Atlantic,25061,15336,3.471863,1459,9709571,english,I love this game for what it is. Freeroam sailing the atlantic and blowing shit up. I just can't find enough time to play it XD,1,True,1396484898,1396484898,76561197977973963,604,0,False,False,True,0,11,0,0.583800733089447,127,medium,9
3,bottom,48110,Silent Hunter 5: Battle of the Atlantic,25061,15336,3.471863,1459,10204224,english,"HOLY SHiIT. THIS GAME SUCKS. I have been the biggest fan of silent hunter since the original NES version with the black squarish boxes that passed for ships back in the 80's (and silent hunter 2 the secret missions). Not only is this the biggest pile of crap in the franchise (Ihave played every single one), it actually FLICKs WITH THE PERFORMANCE OF MY PC. I have to take my brand new $1200 4ghz 1TB SSD to a professional to rid it of this god damn FLICKING program. Do not download this MALWARE that masquerades as a game. I am seriously considering bring a lawsuit to ubisoft to cover the cost of completely scrubbing this from my computer.  DO NOT BUY THIS GAME. If anyone from Steam actually reads this, please delete this game from your library and refund my $9.99. SILENT HUNTER 4 IS STILL GOOD IF YOU WANT A SUBMARINE SIMULATION.",0,False,1400820933,1400821412,76561198088268839,118,0,False,False,True,0,2,0,0.5029905438423156,838,long,10
