token,count,freq_per_1k
the,706,56.64313222079589
and,387,31.049422336328625
game,312,25.032092426187422
of,295,23.66816431322208
it,283,22.705391527599488
to,281,22.54492939666239
you,251,20.137997432605903
is,244,19.57637997432606
this,209,16.76829268292683
trials,178,14.281129653401798
in,143,11.473042362002568
that,138,11.07188703465982
but,132,10.590500641848523
for,131,10.510269576379974
are,126,10.109114249037228
on,115,9.226572528883185
with,112,8.985879332477536
not,104,8.34403080872914
blood,89,7.140564826700899
dragon,87,6.9801026957638
if,87,6.9801026957638
as,82,6.578947368421052
like,80,6.418485237483954
be,80,6.418485237483954
just,73,5.856867779204108
have,66,5.295250320924262
fun,66,5.295250320924262
so,59,4.7336328626444155
get,58,4.653401797175866
was,57,4.573170731707317
good,56,4.492939666238768
levels,56,4.492939666238768
story,54,4.332477535301669
more,52,4.17201540436457
really,50,4.011553273427471
all,48,3.851091142490372
some,47,3.770860077021823
far,45,3.610397946084724
from,45,3.610397946084724
which,44,3.5301668806161746
one,44,3.5301668806161746
can,44,3.5301668806161746
games,44,3.5301668806161746
great,43,3.449935815147625
they,41,3.289473684210526
at,41,3.289473684210526
only,41,3.289473684210526
bike,40,3.209242618741977
there,39,3.1290115532734277
or,39,3.1290115532734277
very,39,3.1290115532734277
gameplay,38,3.048780487804878
time,38,3.048780487804878
my,38,3.048780487804878
cry,36,2.8883183568677793
what,35,2.8080872913992296
do,34,2.7278562259306804
your,32,2.567394094993581
controls,32,2.567394094993581
has,31,2.4871630295250324
play,31,2.4871630295250324
no,31,2.4871630295250324
an,30,2.406931964056483
don,30,2.406931964056483
level,29,2.326700898587933
hours,29,2.326700898587933
even,28,2.246469833119384
pretty,28,2.246469833119384
up,27,2.1662387676508343
foot,27,2.1662387676508343
when,27,2.1662387676508343
about,27,2.1662387676508343
had,26,2.086007702182285
would,26,2.086007702182285
then,26,2.086007702182285
h1,26,2.086007702182285
other,25,2.0057766367137355
re,24,1.925545571245186
its,24,1.925545571245186
much,23,1.8453145057766367
me,23,1.8453145057766367
than,23,1.8453145057766367
will,22,1.7650834403080873
well,22,1.7650834403080873
sections,22,1.7650834403080873
sale,22,1.7650834403080873
played,22,1.7650834403080873
out,22,1.7650834403080873
lot,22,1.7650834403080873
platforming,22,1.7650834403080873
over,21,1.6848523748395379
still,21,1.6848523748395379
fan,21,1.6848523748395379
most,20,1.6046213093709885
while,20,1.6046213093709885
first,20,1.6046213093709885
few,20,1.6046213093709885
10,20,1.6046213093709885
because,19,1.524390243902439
where,19,1.524390243902439
into,19,1.524390243902439
feel,19,1.524390243902439
through,19,1.524390243902439
playing,19,1.524390243902439
80s,18,1.4441591784338896
were,18,1.4441591784338896
same,18,1.4441591784338896
soundtrack,18,1.4441591784338896
too,18,1.4441591784338896
recommend,18,1.4441591784338896
off,17,1.3639281129653402
style,17,1.3639281129653402
jetpack,17,1.3639281129653402
bad,17,1.3639281129653402
by,17,1.3639281129653402
nice,17,1.3639281129653402
best,17,1.3639281129653402
tracks,17,1.3639281129653402
fusion,17,1.3639281129653402
shooting,17,1.3639281129653402
them,16,1.2836970474967906
overall,16,1.2836970474967906
short,16,1.2836970474967906
buy,16,1.2836970474967906
think,16,1.2836970474967906
ubisoft,15,1.2034659820282414
want,15,1.2034659820282414
after,15,1.2034659820282414
should,15,1.2034659820282414
physics,15,1.2034659820282414
go,15,1.2034659820282414
also,15,1.2034659820282414
amazing,15,1.2034659820282414
here,15,1.2034659820282414
now,15,1.2034659820282414
doesn,15,1.2034659820282414
we,14,1.123234916559692
worst,14,1.123234916559692
music,14,1.123234916559692
new,14,1.123234916559692
different,14,1.123234916559692
say,13,1.0430038510911426
make,13,1.0430038510911426
two,13,1.0430038510911426
going,13,1.0430038510911426
ever,13,1.0430038510911426
never,13,1.0430038510911426
grappling,13,1.0430038510911426
expect,13,1.0430038510911426
back,13,1.0430038510911426
since,13,1.0430038510911426
bit,13,1.0430038510911426
price,13,1.0430038510911426
top,12,0.962772785622593
full,12,0.962772785622593
love,12,0.962772785622593
how,12,0.962772785622593
probably,12,0.962772785622593
these,12,0.962772785622593
series,12,0.962772785622593
content,12,0.962772785622593
why,11,0.8825417201540436
half,11,0.8825417201540436
down,11,0.8825417201540436
hook,11,0.8825417201540436
miami,11,0.8825417201540436
